epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.692,1.78899,3.36748,1.63263,0.0882,0.09981,0.04609,0.01979,2.25373,4.65621,1.52481,0.000368544,0.000368544,0.000368544
2,230.638,1.8154,2.36236,1.69539,0.09177,0.11166,0.05965,0.02665,2.27696,4.19295,1.55286,0.000724248,0.000724248,0.000724248
3,335.275,1.82796,2.30447,1.72849,0.15481,0.08883,0.06856,0.03049,2.3235,3.63922,1.55354,0.00106529,0.00106529,0.00106529
4,438.847,1.83587,2.22289,1.70951,0.30079,0.10175,0.06858,0.03352,2.30436,3.66324,1.56681,0.00104501,0.00104501,0.00104501
5,544.576,1.78082,2.04573,1.67214,0.10323,0.11999,0.06516,0.03073,2.46956,5.68611,1.66813,0.00102301,0.00102301,0.00102301
6,648.234,1.72978,2.00624,1.64751,0.10476,0.10467,0.06998,0.03488,2.2722,3.86272,1.53893,0.00100101,0.00100101,0.00100101
7,755.25,1.68074,1.86868,1.60936,0.08862,0.10101,0.05501,0.02729,2.27472,3.66395,1.54256,0.000979013,0.000979013,0.000979013
8,861.05,1.66716,1.77347,1.58466,0.11498,0.13081,0.06999,0.03136,2.28368,3.64142,1.54044,0.000957015,0.000957015,0.000957015
9,966.521,1.60725,1.70862,1.5324,0.11893,0.13733,0.07973,0.04089,2.16091,3.88486,1.48557,0.000935018,0.000935018,0.000935018
10,1070.14,1.57683,1.60366,1.51082,0.11346,0.14926,0.08004,0.04054,2.18834,3.74418,1.5021,0.00091302,0.00091302,0.00091302
11,1174.2,1.54809,1.5457,1.47739,0.12242,0.09008,0.06728,0.03362,2.27967,4.22798,1.55075,0.000891022,0.000891022,0.000891022
12,1277.61,1.50854,1.50352,1.45627,0.10568,0.10891,0.06785,0.03645,2.19219,3.85968,1.50328,0.000869024,0.000869024,0.000869024
13,1381.78,1.47569,1.41525,1.42167,0.11263,0.13859,0.08279,0.04296,2.2081,3.51054,1.4801,0.000847026,0.000847026,0.000847026
14,1485.97,1.48145,1.40739,1.43003,0.13762,0.11874,0.07714,0.03572,2.26454,3.88395,1.50991,0.000825029,0.000825029,0.000825029
15,1589.76,1.46193,1.34848,1.41675,0.12306,0.08993,0.06546,0.03165,2.19846,3.84239,1.45866,0.000803031,0.000803031,0.000803031
16,1694.48,1.40885,1.26659,1.37272,0.11946,0.13684,0.07765,0.03975,2.19013,3.6451,1.47358,0.000781033,0.000781033,0.000781033
17,1798.12,1.39366,1.25091,1.37141,0.13861,0.13538,0.08985,0.0461,2.13584,3.59186,1.43261,0.000759035,0.000759035,0.000759035
18,1901.7,1.37913,1.22324,1.35918,0.13099,0.1179,0.08117,0.04009,2.2249,3.84403,1.47793,0.000737037,0.000737037,0.000737037
19,2005.04,1.36667,1.17403,1.33445,0.12606,0.11266,0.07384,0.03461,2.27375,4.23945,1.54221,0.00071504,0.00071504,0.00071504
